Years;Total Arrivals;Arrived within Country;Arrived within Region;Arrived from other Regions;Arrived from other Countries;Total Leaving;Leaving within Country;Leaving within Region;Leaving to other Regions;Leaving to other Countries;Total Migration Growth;Movements within Country;Movements within Regions;Movements between Regions;Migration Exchange with Foreign Countries
1990;5176332;4263109;2415423;1847686;913223;4720270;3990803;2303379;1687424;729467;456062;272306;112044;160262;183756
1991;4383020;3690782;2071004;1619778;692238;4155649;3480152;2015722;1464430;675497;227371;210630;55282;155348;16741
1992;4192798;3266778;1760637;1506141;926020;3806409;3133266;1741764;1391502;673143;386389;133512;18873;114639;252877
1993;3826115;2902835;1511296;1391539;923280;3450277;2967249;1541429;1425820;483028;375838;-64414;-30133;-34281;440252
1994;4208308;3016953;1544884;1472069;1191355;3330776;2985153;1554074;1431079;345623;877532;31800;-9190;40990;845732
1995;3997139;3130282;1650579;1479703;866857;3393941;3046603;1653255;1393348;347338;603198;83679;-2676;86355;519519
1996;3533890;2886864;1577000;1309864;647026;3090594;2798952;1569975;1228977;291642;443296;87912;7025;80887;355384
1997;3322593;2724942;1484063;1240879;597651;2931466;2698479;1484063;1214416;232987;391127;26463;;26463;364664
1998;3095508;2581957;1416824;1165133;513551;2774310;2560933;1416824;1144109;213377;321198;21024;;21024;300174
1999;2856731;2477005;1366138;1110867;379726;2672709;2457746;1366138;1091608;214963;184022;19259;;19259;164763
2000;2662329;2302999;1284592;1018407;359330;2420574;2274854;1284592;990262;145720;241755;28145;;28145;213610
2001;2334034;2140584;1204846;935738;193450;2252253;2131087;1204846;926241;121166;81781;9497;;9497;72284
2002;2201914;2017302;1131369;885933;184612;2114765;2008080;1131369;876711;106685;87149;9222;;9222;77927
2003;2168168;2039024;1141426;897598;129144;2124284;2030266;1141426;888840;94018;43884;8758;;8758;35126
2004;2117434;1998277;1146382;851895;119157;2076159;1996364;1146382;849982;79795;41275;1913;;1913;39362
2005;2088639;1911409;1095724;815685;177230;1981207;1911409;1095724;815685;69798;107432;;;;107432
2006;2122071;1935691;1095693;839998;186380;1989752;1935691;1095693;839998;54061;132319;;;;132319
2007;2284936;1997980;1137775;860205;286956;2044993;1997980;1137775;860205;47013;239943;;;;239943
2008;2215945;1934331;1071863;862468;281614;1973839;1934331;1071863;862468;39508;242106;;;;242106
2009;1987598;1707691;941255;766436;279907;1740149;1707691;941255;766436;32458;247449;;;;247449
2010;2102304;1910648;1035899;874749;191656;1944226;1910648;1035899;874749;33578;158078;;;;158078
2011;3415055;3058520;1705711;1352809;356535;3095294;3058520;1705711;1352809;36774;319761;;;;319761
2012;4196143;3778462;2023865;1754597;417681;3901213;3778462;2023865;1754597;122751;294930;;;;294930
2013;4496861;4014620;2102036;1912584;482241;4201002;4014620;2102036;1912584;186382;295859;;;;295859
2014;4663427;4072603;2075442;1997161;590824;4363437;4052941;2075442;1977499;310496;299990;19662;;19662;280328
2015;4734523;4135906;2053058;2082848;598617;4489139;4135906;2053058;2082848;353233;245384;;;;245384
2016;4706411;4131253;2041392;2089861;575158;4444463;4131253;2041392;2089861;313210;261948;;;;261948
2017;4773500;4184467;2006115;2178352;589033;4561622;4184467;2006115;2178352;377155;211878;;;;211878
2018;4911566;4345881;2061251;2284630;565685;4786712;4345881;2061251;2284630;440831;124854;;;;124854
2019;4749769;4048535;1957306;2091229;701234;4464666;4048535;1957306;2091229;416131;285103;;;;285103
2020;4120743;3526597;1674878;1851719;594146;4014269;3526597;1674878;1851719;487672;106474;;;;106474
2021;4277442;3609520;1779678;1829842;667922;3847540;3609520;1779678;1829842;238020;429902;;;;429902
