Years;Total Arrivals;Arrived within Country;Arrived within Region;Arrived from other Regions;Arrived from other Countries;Total Leaving;Leaving within Country;Leaving within Region;Leaving to other Regions;Leaving to other Countries;Total Migration Growth;Movements within Country;Movements within Regions;Movements between Regions;Migration Exchange with Foreign Countries
1990;3374391;2805567;1523992;1281575;568824;3012423;2492751;1313221;1179530;519672;361968;312816;210771;102045;49152
1991;2796458;2365613;1260253;1105360;430845;2734159;2240184;1185233;1054951;493975;62299;125429;75020;50409;-63130
1992;2620850;2067131;1036780;1030351;553719;2633920;2134480;1096489;1037991;499440;-13070;-67349;-59709;-7640;54279
1993;2462892;1897300;926214;971086;565592;2332403;1981704;930171;1051533;350699;130489;-84404;-3957;-80447;214893
1994;2852973;2079733;1003403;1076330;773240;2233760;1982277;910446;1071831;251483;619213;97456;92957;4499;521757
1995;2722247;2156911;1069928;1086983;565336;2253142;2007310;970163;1037147;245832;469105;149601;99765;49836;319504
1996;2432549;2009908;1034758;975150;422641;2069722;1860097;941537;918560;209625;362827;149811;93221;56590;213016
1997;2264689;1890532;964453;926079;374157;1941419;1772478;884855;887623;168941;323270;118054;79598;38456;205216
1998;2095851;1774044;909850;864194;321807;1830257;1680838;842218;838620;149419;265594;93206;67632;25574;172388
1999;1900991;1656606;852667;803939;244385;1781620;1628773;827004;801769;152847;119371;27833;25663;2170;91538
2000;1806134;1570293;820153;750140;235841;1574942;1473444;761817;711627;101498;231192;96849;58336;38513;134343
2001;1615153;1476442;776905;699537;138711;1459683;1375928;708256;667672;83755;155470;100514;68649;31865;54956
2002;1519160;1386508;725275;661233;132652;1384855;1311581;674421;637160;73274;134305;74927;50854;24073;59378
2003;1483287;1393469;725378;668091;89818;1390119;1326821;679705;647116;63298;93168;66648;45673;20975;26520
2004;1446758;1363994;728988;635006;82764;1359803;1306141;687600;618541;53662;86955;57853;41388;16465;29102
2005;1416681;1290722;684213;606509;125959;1282373;1234875;646820;588055;47498;134308;55847;37393;18454;78461
2006;1451880;1319099;691493;627606;132781;1285708;1246960;640805;606155;38748;166172;72139;50688;21451;94033
2007;1544781;1341396;706896;634500;203385;1297052;1262458;650900;611558;34594;247729;78938;55996;22942;168791
2008;1523980;1325238;680088;645150;198742;1254724;1224730;610198;614532;29994;269256;100508;69890;30618;168748
2009;1356220;1161109;587682;573427;195111;1104928;1079505;536370;543135;25423;251292;81604;51312;30292;169688
2010;1492847;1353626;675763;677863;139221;1238758;1212296;582684;629612;26462;254089;141330;93079;48251;112759
2011;2390562;2121732;1072335;1049397;268830;1920283;1890734;916500;974234;29549;470279;230998;155835;75163;239281
2012;2969555;2644613;1274421;1370192;324942;2507994;2409371;1115265;1294106;98623;461561;235242;159156;76086;226319
2013;3214185;2832967;1331078;1501889;381218;2741175;2587935;1157175;1430760;153240;473010;245032;173903;71129;227978
2014;3349049;2882062;1322533;1559529;466987;2915365;2659680;1162621;1497059;255685;433684;222382;159912;62470;211302
2015;3365510;2900734;1269401;1631333;464776;3072591;2781069;1180348;1600721;291522;292919;119665;89053;30612;173254
2016;3351695;2897707;1269099;1628608;453988;3053285;2799787;1187409;1612378;253498;298410;97920;81690;16230;200490
2017;3431461;2963864;1259946;1703918;467597;3172287;2865978;1169835;1696143;306309;259174;97886;90111;7775;161288
2018;3530404;3078114;1297514;1780600;452290;3336081;2976847;1195066;1781781;359234;194323;101267;102448;-1181;93056
2019;3396683;2841496;1213437;1628059;555187;3121670;2779459;1130251;1649208;342211;275013;62037;83186;-21149;212976
2020;2949731;2479786;1028637;1451149;469945;2840306;2441028;974694;1466334;399278;109425;38758;53943;-15185;70667
2021;3049819;2519646;1096582;1423064;530173;2654619;2463528;1024585;1438943;191091;395200;56118;71997;-15879;339082
